Site,Type,Sample,18O,2H,species
Levera,plant,buttonwood,5.59,18.6508415,buttonwood
Mt_Hartman,plant,black,3.92,18.9731,black
Westerhall,plant,black,1.63,11.385423,black
Mt_Hartman,plant,white,4.72,20.565402,white
Levera,plant,red,8.19,35.833407,red
Westerhall,plant,white,4.40,17.6044795,white
Conference,water,pond,1.64,10.240796,water
Conference,water,run-off,1.57,7.331204,water
Conference,water,ocean,1.97,10.818946,water
Westerhall,water,stream2,-2.24,-8.2494375,water
Levera,water,lake,2.67,13.275409,water
Mt_Hartman,water,swamp,1.90,13.521543,water
Levera,water,ocean,1.27,9.3009885,water
Westerhall,water,run-off,-1.08,-5.538572,water
Westerhall,water,ocean,0.67,5.76237,water
Conference,water,pond2,1.14,8.306549,water
Conference,plant,white,4.34,14.16,white
Levera,plant,white,4.28,17.53,white
Conference,plant,red,4.63,22.51,red
Conference,plant,black,3.17,15.43,black
Levera,plant,black,2.81,11.96,black
Westerhall,plant,buttonwood,2.41,7.32,buttonwood
Westerhall,plant,red,2.31,10.23,red
Conference,plant-branch,white,4.72,17.28,white
Levera,plant-branch,white,3.95,17.02,white
Levera,plant-branch,black,2.33,10.48,black
Westerhall,plant-branch,buttonwood,2.37,7.57,buttonwood
Westerhall,plant-branch,red,1.58,11.96,red
