SiteName,SiteType,Independent,ANCH,BANA,BARS,BBWD,BEKI,BFGR,BWHA,BWVI,CAGR,CAMA,CGDO,COGA,EADO,GBHE,GFLY,GRAK,GRDO,GRHE,HOWR,LAGU,LANB,LATA,LBHE,LIEG,MACU,MAFR,SBAN,SEPL,SESA,SHCO,SNPI,SPSA,SPTH,TRMO,WHIM,WIPL,YBEL,YBSE,YCNH,YEWA,ZEND
Conference,Basin,CN-T1-P13,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,13,0,0,1,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1
Conference,Basin,CN-T2-P1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Conference,Basin,CN-T2-P3,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,0
Levera,Basin,LV-T1-P13,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1
Levera,Basin,LV-T23-P13,1,4,0,7,0,0,0,3,2,0,2,2,0,0,0,2,0,2,0,4,0,0,0,0,0,3,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1
Levera,Basin,LV-T456-P13,2,6,0,7,0,3,1,0,2,0,1,5,0,1,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,7,0,0,2,0,0,0,0,1,0,1
Levera,Basin,LV-T6-P3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Levera,Basin,LV-T7-P1,0,4,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,1,0,1
Levera,Basin,LV-T7-P3,0,1,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Mt. Hartman,Fringe,MH-T12-P1,2,10,15,0,0,6,3,0,10,0,12,0,21,1,3,2,4,0,3,0,2,0,2,0,1,2,3,1,7,0,11,5,2,9,2,3,2,0,5,1,2
Mt. Hartman,Fringe,MH-T12-P3,2,2,0,0,0,1,1,0,2,0,0,0,1,0,0,1,0,0,1,0,3,1,1,1,1,0,1,0,0,1,2,1,1,2,0,0,2,2,0,0,2
Westerhall,Fringe,WH-T1-P13,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,2,0,0,1,0,0,2,0,0,0,3,14,0,0,2,0,0,0,2,0,0,1
Westerhall,Fringe,WH-T2-P13,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0
Westerhall,Fringe,WH-T3-P13,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,11,0,0,2,0,0,1,0,1,0,0
Westerhall,Fringe,WH-T4-P13,2,3,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,5,0,0,1,0,0,0,2,0,0,0
