SiteName,SiteType,Independent,FunctionalDispersion,FunctionalRichness,FunctionalEveness,FunctionalDivergence,BlackBasalArea,RedBasalArea,WhiteBasalArea,BlackCanopyWidth,RedCanopyWidth,WhiteCanopyWidth,BlackTreeHeight,RedTreeHeight,WhiteTreeHeight
Conference,Basin,CN-T1-P13,30.0175305816816,3.513919546511706,0.6888101370259199,0.7412826895149308,0.31420000000000003,0.44184375,1.4139,3,4,3,25,5.5,7
Conference,Basin,CN-T2-P1,40.08206923406903,15.550619916586523,0.7923170138356075,0.6648503652967342,0,0,1.4139,0,0,5,0,0,20
Conference,Basin,CN-T2-P3,22.831244841943644,1.2416441115581822,0.8227113680551337,0.6872814460927856,0,0.39275,0,0,1.6666666666666667,0,0,3.3333333333333335,0
Levera,Basin,LV-T1-P13,35.262305787432716,15.756452415954836,0.805894699204544,0.6389654590444722,0.31420000000000003,1.1193374999999999,4.2417,6,6,2,30,25,20
Levera,Basin,LV-T23-P13,37.227498713138175,23.128876012719218,0.7802359027833049,0.7205200942620554,1.02115,0.274925,1.6691875,6.125,2.6666666666666665,3,20.25,7.666666666666667,15
Levera,Basin,LV-T456-P13,33.75538495982208,29.30338637088569,0.7391528369573411,0.7402053565217658,0.5760333333333334,2.125759375,1.0997,4.666666666666667,3.75,2.1666666666666665,25,13.25,17.333333333333332
Levera,Basin,LV-T6-P3,19.134450519724187,0.2667877744818411,0.8378787460851921,0.7354059726428759,0.510575,0,1.4139,6,0,5.5,27.5,0,27.5
Levera,Basin,LV-T7-P1,26.65990039578891,16.34089530223043,0.6728100580482704,0.6756011947097125,0,2.8278,0.70695,0,2.5,3,0,25,17
Levera,Basin,LV-T7-P3,25.477443572587116,0.71775489878596,0.9299195308888418,0.7388619303030132,0,0.39275,0,0,3,0,0,10,0
Mt. Hartman,Fringe,MH-T12-P1,30.40276025391022,27.942413664758057,0.6361177223337141,0.6727514892734217,0,0.18066500000000002,0.49093749999999997,0,3.7666666666666666,8,0,4.083333333333333,4.2
Mt. Hartman,Fringe,MH-T12-P3,23.435299474668753,13.094687352493239,0.7751292242395166,0.6420310874999958,0.2659478571428571,0,0.39275,2.47,0,3,4,0,5.95
Westerhall,Fringe,WH-T1-P13,22.225732722582016,5.801837420967991,0.6874860406767337,0.5899808672368724,0,0.6274181249999999,1.4983412499999997,0,3.875,0.75,0,4.75,6.45
Westerhall,Fringe,WH-T2-P13,20.41044622825775,1.6467311857695717,0.9010539422712057,0.6777037866044306,0.196375,0.5867684999999999,0.6480375,1,1.9,1.25,7,8.42,9
Westerhall,Fringe,WH-T3-P13,18.966037639026887,4.833353872765608,0.584105210428438,0.6755228231310377,0,1.0538791666666667,0.28474374999999996,0,2.3333333333333335,2.95,0,12.166666666666666,11
Westerhall,Fringe,WH-T4-P13,22.90971959153724,5.54780857796867,0.7855510004645799,0.7736589481097871,0,0.755651,0.40256875,0,1.7,1.3,0,8.12,10
