SiteName,SiteType,SiteID,FunctionalDispersion,FunctionalRichness,FunctionalEveness,FunctionalDivergence,BlackBasalArea,RedBasalArea,WhiteBasalArea,BlackCanopyWidth,RedCanopyWidth,WhiteCanopyWidth,BlackTreeHeight,RedTreeHeight,WhiteTreeHeight
Conference,Basin,CN-T1-P1,28.388125365654577,3.3372500435599353,0.6117116834304994,0.739813378360335,0.31420000000000003,0.2945625,1.4139,3,3.5,3,25,6,7
Conference,Basin,CN-T1-P3,17.64365614711433,0.1157555106709784,0.7974413875390002,0.701651997660212,0,0.589125,0,0,4.5,0,0,5,0
Conference,Basin,CN-T2-P1,37.65068139462267,15.550619916586523,0.7518123327703458,0.65961800345559,0,0,1.4139,0,0,5,0,0,20
Conference,Basin,CN-T2-P3,17.586719110917585,1.2416441115581822,0.7485087295876531,0.7117232327037891,0,0.39275,0,0,1.6666666666666667,0,0,3.3333333333333335,0
Levera,Basin,LV-T1-P1,33.21785125425138,15.427518158951415,0.7072086716084837,0.6335610481556206,0,1.6495499999999998,4.2417,0,5,2,0,30,20
Levera,Basin,LV-T1-P3,16.19347270444098,0.08458949250053989,0.8375382287894778,0.6931905010970254,0.31420000000000003,0.589125,0,6,7,0,30,20,0
Levera,Basin,LV-T2-P1,34.68882509866243,15.493604188848295,0.8644906887431308,0.6428048628412255,1.8852000000000002,0,0,4.5,0,0,5,0,0
Levera,Basin,LV-T2-P3,16.433090586980484,0.5655745621954087,0.7933474933084325,0.6775716522267906,0.31420000000000003,0.23564999999999997,0,7,1,0,26,6,0
Levera,Basin,LV-T3-P1,28.05006720297075,1.4633907821450771,0.9000350734701523,0.7694860452972725,1.2568000000000001,0.2945625,1.6691875,5,4,3,40,10,15
Levera,Basin,LV-T3-P3,23.78194637685426,0.13632155011892466,0.8006208786660037,0.8297712439656717,0.6284000000000001,0.2945625,0,8,3,0,10,7,0
Levera,Basin,LV-T4-P1,34.151549192450304,12.199039193971682,0.7114024421556051,0.7558210306943547,0,2.12085,0,0,4,0,0,20,0
Levera,Basin,LV-T4-P3,16.05784706275241,0.11488644808381492,0.6357763238237735,0.8449624421247931,0.70695,0,0,5.5,0,0,22.5,0,0
Levera,Basin,LV-T5-P1,33.55816719960903,14.701856616400576,0.5845398668394152,0.8493507071047375,0.31420000000000003,1.4139,1.8851999999999998,3,7,2,30,15,25
Levera,Basin,LV-T5-P3,21.062935300682412,0.7320404510598112,0.7713899981648925,0.750549554179125,0,0,0.70695,0,0,2.25,0,0,13.5
Levera,Basin,LV-T6-P1,20.933913836833252,11.361844767428872,0.42087197439138774,0.6530743570432986,0,2.48414375,0,0,2,0,0,9,0
Levera,Basin,LV-T6-P3,19.134450519724187,0.2667877744818411,0.8378787460851921,0.7354059726428759,0.510575,0,1.4139,6,0,5.5,27.5,0,27.5
Levera,Basin,LV-T7-P1,22.41402242119531,16.34089530223043,0.6588043440806769,0.6783613329817911,0,2.8278,0.70695,0,2.5,3,0,25,17
Levera,Basin,LV-T7-P3,23.560518530632617,0.71775489878596,0.8938621459157773,0.6807470817081297,0,0.39275,0,0,3,0,0,10,0
Mt. Hartman,Fringe,MH-T1-P1,27.787858048138187,19.579212727603597,0.5960350015249815,0.6239658246330624,0,0.21503062499999998,0.49093749999999997,0,5.025,8,0,3.5,4.2
Mt. Hartman,Fringe,MH-T1-P3,20.019748666732024,1.8807310025763215,0.6202155326482274,0.5717384240622798,0.1138975,0,0.1453175,1,0,4.25,2.5,0,6.35
Mt. Hartman,Fringe,MH-T2-P1,28.052430639657796,10.231043410228375,0.7878851097235435,0.7236291125979804,0,0.11193375,0,0,1.25,0,0,5.25,0
Mt. Hartman,Fringe,MH-T2-P3,21.001114768703758,5.951783928231604,0.6924684388007527,0.6226270658684605,0.379985625,0,0.5577049999999999,2.8375,0,1.75,4.375,0,5.55
Westerhall,Fringe,WH-T1-P1,21.44776749354402,5.8005723092744175,0.678284045150037,0.6067761278656364,0,0.52039375,0,0,5,0,0,3,0
Westerhall,Fringe,WH-T1-P3,22.404372311495205,0.24111376411257346,0.8038110909468904,0.8532337719699367,0,0.7344424999999999,1.4983412499999997,0,2.75,0.75,0,6.5,6.45
Westerhall,Fringe,WH-T2-P1,14.876739577392367,0.018890866391720558,0.9572530222550379,0.7576093782667437,0,0.7265874999999999,0,0,2.5,0,0,9,0
Westerhall,Fringe,WH-T2-P3,24.50667264939337,1.4493490204561044,0.9000802060090792,0.7479278918638067,0.196375,0.4935558333333333,0.6480375,1,1.5,1.25,7,8.033333333333333,9
Westerhall,Fringe,WH-T3-P1,14.528627338197227,2.417995183673914,0.5169488835954125,0.6360392736107947,0,1.9637499999999999,0,0,2,0,0,6,0
Westerhall,Fringe,WH-T3-P3,22.801152570026154,1.6500309672064921,0.685902679070933,0.8300332115116037,0,0.59894375,0.28474374999999996,0,2.5,2.95,0,15.25,11
Westerhall,Fringe,WH-T4-P1,19.380968827616236,3.1314316647833076,0.8501267316804013,0.8031897239225476,0,1.0499516666666666,0,0,1.4,0,0,7.2,0
Westerhall,Fringe,WH-T4-P3,24.9199969172376,1.3236462742818766,0.8839126465299476,0.7697272885153476,0,0.3142,0.40256875,0,2.15,1.3,0,9.5,10
