Site,Date,Start Time,End Time,Transect,Plot,Redox_Depth (cm),Red_A,Black_A,White_A,Red_B,Black_B,White_B,Red_C,Black_C,White_C,Red_D,Black_D,White_D,Red_E,Black_E,White_E
Conference,18/05/2020,2:00,2:30,1,1,>100,0,0,0,0,0,0,3,0,0,0,0,6,0,1,0
Conference,20/05/2020,10:05,10:25,1,2,>100,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Conference,20/05/2020,10:45,11:05,1,3,>100,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Conference,24/05/2020,10:35,11:00,2,1,80,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Conference,24/05/2020,9:00,9:20,2,2,>100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Conference,24/05/2020,8:00,8:20,2,3,50,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0
Levera,26/05/2020,8:50,8:30,1,1,45,0,0,0,0,0,0,0,0,0,7,0,18,0,0,0
Levera,30/05/2020,9:00,9:15,1,2,23,0,0,0,0,0,0,0,0,6,5,0,8,0,0,0
Levera,30/05/2020,9:15,9:35,1,3,>100,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
Levera,26/05/2020,9:42,10:05,2,1,>100,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Levera,30/05/2020,10:25,10:41,2,2,>100,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
Levera,30/05/2020,10:50,11:05,2,3,>100,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Levera,30/05/2020,11:15,11:30,3,1,68,0,0,0,0,0,0,3,0,17,0,0,0,0,4,0
Levera,01/06/2020,8:05,8:25,3,2,>100,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Levera,01/06/2020,8:45,9:00,3,3,>100,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0
Levera,26/05/2020,11:35,11:55,4,1,63.5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Levera,01/06/2020,9:10,9:25,4,2,>100,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2
Levera,01/06/2020,9:35,9:50,4,3,>100,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
Levera,28/05/2020,9:15,9:35,5,1,50,0,0,0,0,0,0,0,0,0,6,0,8,0,1,0
Levera,28/05/2020,10:00,10:15,5,2,>100,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Levera,28/05/2020,10:35,11:00,5,3,>100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
Levera,08/06/2020,8:20,8:40,6,1,>100,0,0,0,0,0,0,5,0,0,19,0,0,0,0,0
Levera,08/06/2020,9:02,9:23,6,2,>100,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0
Levera,28/05/2020,11:17,11:36,6,3,11.5,0,0,0,0,0,0,0,0,0,0,3,8,0,1,3
Levera,08/06/2020,7:00,7:25,7,1,>100,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0
Levera,01/06/2020,10:05,10:18,7,2,>100,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
Levera,01/06/2020,10:33,11:07,7,3,>100,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Mt. Hartman,16/05/2020,7:50,9:10,1,1,0,1,0,0,1,0,0,6,0,5,1,0,0,0,0,0
Mt. Hartman,18/05/2020,10:29,10:55,1,2,9.5,0,0,0,0,2,2,0,4,4,0,0,2,0,1,0
Mt. Hartman,15/05/2020,10:32,10:48,1,3,10,0,1,0,0,5,2,0,2,0,0,0,1,0,0,0
Mt. Hartman,16/05/2020,10:00,11:00,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Mt. Hartman,18/05/2020,9:20,10:00,2,2,1,0,0,0,0,5,1,0,7,8,0,0,0,0,1,0
Mt. Hartman,18/05/2020,8:15,9:10,2,3,7,0,2,1,0,4,7,0,7,15,0,3,0,0,0,0
Westerhall,29/05/2020,11:10,11:50,1,1,no reading,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
Westerhall,22/05/2020,9:21,9:51,1,2,0,0,0,0,1,0,0,10,2,6,2,0,3,0,0,0
Westerhall,22/05/2020,8:20,9:01,1,3,0,0,0,1,2,0,2,0,0,22,6,0,16,0,0,0
Westerhall,29/05/2020,10:19,10:45,2,1,no reading,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0
Westerhall,23/05/2020,10:55,12:15,2,2,5,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0
Westerhall,22/05/2020,10:10,10:30,2,3,0,0,0,0,1,0,0,10,2,6,2,0,3,0,0,0
Westerhall,29/05/2020,9:10,9:27,3,1,no reading,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
Westerhall,23/05/2020,8:27,8:46,3,2,0.5,0,0,0,1,0,2,1,0,4,0,0,0,0,0,7
Westerhall,23/05/2020,7:52,8:23,3,3,11,0,0,0,0,0,0,5,0,1,3,0,2,0,0,0
Westerhall,29/05/2020,7:53,8:15,4,1,no reading,0,0,0,1,0,0,27,0,0,2,0,0,0,0,0
Westerhall,23/05/2020,9:45,10:08,4,2,7,0,0,0,0,1,0,5,5,16,0,0,0,0,0,0
Westerhall,23/05/2020,9:15,9:41,4,3,11.8,0,0,0,0,0,0,4,0,1,1,0,3,0,0,0
