,site,species,count,label
1,Conference,BANA,30.5,Bananaquit
2,Conference,GRAK,7,Gray Kingbird
3,Conference,LAGU,24,Laughing Gull
4,Conference,SNPI,10,Scaly-naped Pigeon
5,Conference,SPTH,8.5,Spectacled Thrush
6,Levera,ANCH,5.5,Antillean Crested Hummingbird
7,Levera,BANA,45.55,Bananaquit
8,Levera,CAGR,5,Carib Grackle
9,Levera,COGA,18.5,Common Gallinule
10,Levera,GRAK,6,Gray Kingbird
11,Levera,GRHE,5,Green Heron
12,Levera,LAGU,10,Laughing Gull
13,Levera,SNPI,31.5,Scaly-naped Pigeon
14,Levera,TRMO,8.4,Tropical Mockingbird
15,Levera,BBWD,14,Black-bellied Whistling Duck
16,Levera,GFLY,8,Gray Flycatcher
17,Mt. Hartman,BANA,8.5,Bananaquit
18,Mt. Hartman,CAGR,7,Carib Grackle
19,Mt. Hartman,TRMO,5,Tropical Mockingbird
20,Westerhall,ANCH,5,Antillean Crested Hummingbird
21,Westerhall,BANA,26,Bananaquit
22,Westerhall,CAGR,8,Carib Grackle
23,Westerhall,HOWR,8,House Wren
24,Westerhall,LBHE,7,Little Blue Heron
25,Westerhall,SNPI,34,Scaly-naped Pigeon
26,Westerhall,TRMO,11,Tropical Mockingbird
27,Westerhall,EADO,8,Eared Dove
