"","MDS1","MDS3","species"
"Fruit",-0.326183668547249,-0.661372726146026,"Fruit"
"Seeds",-0.484890389069482,-0.58562362152804,"Seeds"
"Foliage.gleaner",-0.508760214507424,-0.801024533881583,"Foliage.gleaner"
"Ground.forager",-0.38360696808574,0.559341866061582,"Ground.forager"
"Stalking",-0.168251202352726,-0.632470114459859,"Stalking"
"Shrub",-0.741046849876731,-0.433585009536559,"Shrub"
"Ground",-0.176892734807819,0.625727866208651,"Ground"
"Tree",-0.605259960972838,-0.640820670802659,"Tree"
"Open.woodlands",-0.356420274438319,-0.655219958277561,"Open.woodlands"
"Forests",-0.86308470657932,0.00500538747043358,"Forests"
"Resident",-0.934518106037764,0.161601575869005,"Resident"
